,Sno,Candidate,Constituency,Party,Criminal_Case,Education,Assets,Apprx_Assets,Total_Liabilities,Apprx_Liabilities
350,350,Gopal Chinnaya Shetty,MUMBAI NORTH,BJP, 9 ,5th Pass,0,,21136135, 2 Crore+ 
351,351,Poonam Vajendla Rao,MUMBAI NORTH CENTRAL,BJP, 2 ,Others,22242513, 2 Crore+,0,  
352,352,Manoj Kishorbhai Kotak,MUMBAI NORTH EAST,BJP, 2 ,10th Pass,54661944, 5 Crore+,2048000, 20 Lacs+ 
353,353,Gajanan Chandrakant Kirtikar,MUMBAI NORTH WEST,SHS,0,Graduate,105392000, 10 Crore+,4032000, 40 Lacs+ 
354,354,Arvind Sawant,MUMBAI SOUTH,Shiv Sena (Uddhav Balasaheb Thackeray), 1 ,Graduate,27181577, 2 Crore+,0,  
355,355,Rahul Ramesh Shewale,MUMBAI SOUTH CENTRAL,SHS,0,Others,18881363, 1 Crore+,7778954, 77 Lacs+ 
356,356,Rajiv Ranjan Singh,MUNGER,JD(U), 1 ,Graduate,88324866, 8 Crore+,7534918, 75 Lacs+ 
357,357,Abu Taher Khan,MURSHIDABAD,AITC, 3 ,8th Pass,8926616, 89 Lacs+,1350000, 13 Lacs+ 
358,358,Sanjeev Kumar Balyan,MUZAFFARNAGAR,BJP, 1 ,Doctorate,15781189, 1 Crore+,2373645, 23 Lacs+ 
359,359,Ajay Nishad,MUZAFFARPUR,BJP, 1 ,Graduate,298867486, 29 Crore+,15714320, 1 Crore+ 
360,360,Prathap Simha,MYSORE,BJP, 3 ,Post Graduate,0,,6586698, 65 Lacs+ 
361,361,Ramesh Chandra Majhi,NABARANGPUR,BJD,0,Graduate,8100600, 81 Lacs+,771000, 7 Lacs+ 
362,362,Tokheho Yepthomi,NAGALAND,Nationalist Democratic Progressive Party,0,Graduate,128117474, 12 Crore+,18600000, 1 Crore+ 
363,363,Selvaraj M,NAGAPATTINAM,CPI,0,12th Pass,4572837, 45 Lacs+,1251381, 12 Lacs+ 
364,364,Pothuganti Ramulu,NAGARKURNOOL,TRS,0,Graduate,10778684, 1 Crore+,0,  
365,365,Hanuman Beniwal,NAGAUR,Rashtriya Loktantrik Party,0,Graduate Professional,4218568, 42 Lacs+,0,  
366,366,Girish Chandra,NAGINA,BSP, 1 ,12th Pass,28659644, 2 Crore+,9062600, 90 Lacs+ 
367,367,Nitin Jairam Gadkari,NAGPUR,BJP, 4 ,Graduate Professional,187916075, 18 Crore+,40729055, 4 Crore+ 
368,368,Ajay Bhatt,NAINITAL-UDHAMSINGH NAGAR,BJP,0,Graduate Professional,19699529, 1 Crore+,0,  
369,369,Kaushlendra Kumar,NALANDA,JD(U),0,12th Pass,29251651, 2 Crore+,2712389, 27 Lacs+ 
370,370,Nalamada Uttam Kumar Reddy,NALGONDA,INC, 4 ,Graduate,0,,1200000, 12 Lacs+ 
371,371,Chinraj A.K.P,NAMAKKAL,DMK,0,Graduate,485205173, 48 Crore+,18642484, 1 Crore+ 
372,372,Chikhalikar Pratap Govindrao,NANDED,BJP,0,12th Pass,52178606, 5 Crore+,594000, 5 Lacs+ 
373,373,Heena Vijaykumar Gavit,NANDURBAR,BJP,0,Post Graduate,271634532, 27 Crore+,15291251, 1 Crore+ 
374,374,Pocha Brahmananda Reddy,NANDYAL,YSRCP, 1 ,Post Graduate,585932911, 58 Crore+,177035582, 17 Crore+ 
375,375,Lavu Sri Krishna Devarayalu,NARASARAOPET,YSRCP,0,Graduate Professional,177710073, 17 Crore+,10142413, 1 Crore+ 
376,376,Kanumuru Raghu Rama Krishna Raju,NARSAPURAM,YSRCP, 3 ,Post Graduate,3259405378, 325 Crore+,1014467354, 101 Crore+ 
377,377,Hemant Tukaram Godse,NASHIK,SHS, 1 ,Others,146869996, 14 Crore+,41083126, 4 Crore+ 
378,378,Patil Chandrakant,NAVSARI,BJP, 1 ,10th Pass,446044269, 44 Crore+,56846658, 5 Crore+ 
379,379,Chandan Singh,NAWADA,LJP, 2 ,Graduate,176720167, 17 Crore+,4722200, 47 Lacs+ 
380,380,Pradyut Bordoloi,NAWGONG,INC,0,Post Graduate,0,,4011152, 40 Lacs+ 
381,381,Adala Prabhakara Reddy,NELLORE,YSRCP,0,12th Pass,2211663364, 221 Crore+,152281255, 15 Crore+ 
382,382,Meenakashi Lekhi,NEW DELHI,BJP,0,Graduate Professional,361441689, 36 Crore+,7938378, 79 Lacs+ 
383,383,A. Raja,NILGIRIS,DMK, 6 ,Graduate Professional,49591024, 4 Crore+,1424914, 14 Lacs+ 
384,384,Dharmapuri Arvind,NIZAMABAD,BJP, 1 ,Post Graduate,876930468, 87 Crore+,337580746, 33 Crore+ 
385,385,Manoj Tiwari,NORTH EAST DELHI,BJP, 3 ,Post Graduate,242817031, 24 Crore+,13618755, 1 Crore+ 
386,386,Shripad Yesso Naik,NORTH GOA,BJP,0,Graduate,65795623, 6 Crore+,1491387, 14 Lacs+ 
